City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
186,Dryden,CA,2022-04-02 02:42:57,49.7833,-92.7503,39.49,65,75,8.05
187,Lorengau,PG,2022-04-02 02:45:51,-2.0226,147.2712,78.13,88,100,12.35
188,Araguacu,BR,2022-04-02 02:45:51,-12.9306,-49.8264,73.2,88,6,1.77
189,Severo-Kurilsk,RU,2022-04-02 02:45:51,50.6789,156.125,27.7,76,95,29.21
190,Fortuna,US,2022-04-02 02:38:34,40.5982,-124.1573,50.94,83,75,14.97
191,Namanyere,TZ,2022-04-02 02:45:52,-7.5167,31.05,58.37,95,46,3.69
192,Katsuura,JP,2022-04-02 02:36:51,35.1333,140.3,49.75,57,100,10.02
193,Beringovskiy,RU,2022-04-02 02:45:52,63.05,179.3167,23.76,94,100,11.9
194,Sioux Lookout,CA,2022-04-02 02:45:53,50.1001,-91.917,39.27,48,75,3.44
195,Riyadh,SA,2022-04-02 02:44:38,24.6877,46.7219,66.34,16,0,6.2
196,Foumban,CM,2022-04-02 02:45:53,5.7291,10.9001,64.15,92,96,2.04
197,Maturin,VE,2022-04-02 02:45:54,9.75,-63.1767,72.93,88,10,6.31
198,Sept-Iles,CA,2022-04-02 02:42:16,50.2001,-66.3821,32.52,96,100,2.3
199,Dmanisi,GE,2022-04-02 02:45:54,41.5251,44.3472,40.86,61,3,5.21
200,Dale,US,2022-04-02 02:45:55,38.1689,-86.99,39.9,70,0,5.75
201,Vanavara,RU,2022-04-02 02:42:09,60.34,102.2797,20.44,79,100,5.12
202,Verkhniy Baskunchak,RU,2022-04-02 02:45:56,48.2256,46.7217,50.07,53,100,13.42
203,Weymouth,US,2022-04-02 02:43:23,42.2209,-70.9398,44.42,56,0,19.57
204,Taoudenni,ML,2022-04-02 02:45:56,22.6783,-3.9836,76.06,8,0,5.3
205,Rundu,NA,2022-04-02 02:45:56,-17.9333,19.7667,65.16,83,19,4.61
206,Ponta Do Sol,PT,2022-04-02 02:45:57,32.6667,-17.1,63.01,83,100,1.21
207,Tezu,IN,2022-04-02 02:45:57,27.9167,96.1667,73.99,72,96,1.63
208,Salalah,OM,2022-04-02 02:45:57,17.0151,54.0924,75.29,41,0,2.3
209,Staryy Nadym,RU,2022-04-02 02:45:58,65.6118,72.6842,11.28,90,44,9.15
210,Santa Maria,BR,2022-04-02 02:44:02,-29.6842,-53.8069,52.9,87,0,4.61
211,Assiniboia,CA,2022-04-02 02:45:58,49.6334,-105.9845,31.82,55,23,6.91
212,Sao Joao Da Barra,BR,2022-04-02 02:36:50,-21.6403,-41.0511,75.16,89,3,1.66
213,Kaitangata,NZ,2022-04-02 02:45:59,-46.2817,169.8464,64.2,55,0,9.55
214,Anjar,IN,2022-04-02 02:46:00,23.1333,70.0167,84.33,27,3,4.27
215,Nabire,ID,2022-04-02 02:46:00,-3.3667,135.4833,89.58,53,97,6.31
216,Pangoa,PE,2022-04-02 02:46:00,-12.1167,-73.0,59.31,100,100,1.32
217,Mamakan,RU,2022-04-02 02:46:01,57.8161,114.0028,32.16,75,100,14.0
218,Saint George,US,2022-04-02 02:46:01,37.1041,-113.5841,73.99,22,0,5.75
219,Rio Grande,BR,2022-04-02 02:46:02,-32.035,-52.0986,60.39,76,6,5.57
220,Hue,VN,2022-04-02 02:46:02,16.4667,107.6,66.31,94,75,16.11
221,Cooma,AU,2022-04-02 02:46:03,-36.2333,149.1333,49.77,100,100,20.71
222,Changji,CN,2022-04-02 02:46:03,44.0167,87.3167,54.39,37,0,4.47
223,Guaiuba,BR,2022-04-02 02:46:03,-4.0397,-38.6372,76.55,96,77,1.34
224,Saint-Pierre,RE,2022-04-02 02:46:04,-21.3393,55.4781,73.08,94,75,21.85
225,Ivdel,RU,2022-04-02 02:46:05,60.6911,60.4206,16.23,86,26,3.04
226,Manokwari,ID,2022-04-02 02:36:52,-0.8667,134.0833,83.39,76,100,7.92
227,Hovd,MN,2022-04-02 02:46:06,48.0056,91.6419,42.53,15,100,1.32
228,Ventersburg,ZA,2022-04-02 02:46:08,-28.0856,27.1381,55.87,74,18,6.49
229,Moose Factory,CA,2022-04-02 02:46:09,51.2585,-80.6094,17.58,67,0,4.61
230,Alamosa,US,2022-04-02 02:47:09,37.4695,-105.87,46.38,13,0,21.85
231,Tangjiazhuang,CN,2022-04-02 02:47:09,39.7333,118.45,57.07,25,1,2.86
232,Sanming,CN,2022-04-02 02:47:09,26.2486,117.6186,55.13,75,100,5.06
233,Harper,LR,2022-04-02 02:47:11,4.375,-7.7169,79.45,86,100,9.15
234,Vaitape,PF,2022-04-02 02:47:12,-16.5167,-151.75,82.33,67,100,1.45
235,Kungurtug,RU,2022-04-02 02:47:13,50.5994,97.5228,31.89,55,98,1.81
236,Shibetsu,JP,2022-04-02 02:47:14,43.659,145.132,39.9,41,75,5.75
237,Lerwick,GB,2022-04-02 02:47:15,60.1545,-1.1494,33.8,66,7,6.15
238,Pisco,PE,2022-04-02 02:44:45,-13.7,-76.2167,68.05,73,0,9.22
239,Jupiter,US,2022-04-02 02:46:11,26.9342,-80.0942,78.06,92,91,1.99
240,La Plata,AR,2022-04-02 02:47:15,-34.9215,-57.9545,60.82,72,64,9.89
241,Aklavik,CA,2022-04-02 02:47:15,68.2191,-135.0107,-7.55,93,89,5.91
242,Leningradskiy,RU,2022-04-02 02:47:16,69.3833,178.4167,2.82,89,100,8.55
243,Comodoro Rivadavia,AR,2022-04-02 02:45:01,-45.8667,-67.5,69.66,21,0,9.22
244,Longyearbyen,SJ,2022-04-02 02:47:17,78.2186,15.6401,-4.16,65,20,10.36
245,Victoria,HK,2022-04-02 02:47:18,22.2855,114.1577,59.32,84,100,8.99
246,Litovko,RU,2022-04-02 02:47:18,49.2361,135.1742,35.92,88,99,11.81
247,Kenai,US,2022-04-02 02:47:19,60.5544,-151.2583,42.15,61,0,14.97
248,Kaeo,NZ,2022-04-02 02:47:20,-35.1,173.7833,73.42,61,99,5.5
249,Mogwase,ZA,2022-04-02 02:47:20,-25.185,27.2665,64.53,51,0,1.63
250,Simoes,BR,2022-04-02 02:47:21,-7.5989,-40.8178,70.95,84,98,4.45
251,Soyo,AO,2022-04-02 02:47:21,-6.1349,12.3689,78.22,88,99,5.12
252,Honiara,SB,2022-04-02 02:47:22,-9.4333,159.95,82.9,77,100,5.23
253,Suraabad,AZ,2022-04-02 02:47:24,40.8192,49.4687,58.06,53,80,18.77
254,Cocobeach,GA,2022-04-02 02:47:24,1.0002,9.5823,76.93,88,100,5.08
255,Walvis Bay,NA,2022-04-02 02:47:25,-22.9575,14.5053,59.09,94,0,11.5
256,Nanortalik,GL,2022-04-02 02:38:33,60.1432,-45.2371,34.39,89,51,5.08
257,Hessisch Lichtenau,DE,2022-04-02 02:47:26,51.2,9.7167,30.24,91,100,8.68
258,Washougal,US,2022-04-02 02:47:27,45.5826,-122.3534,54.05,79,100,6.91
259,Meulaboh,ID,2022-04-02 02:47:27,4.1363,96.1285,81.28,78,100,2.06
260,Constantine,DZ,2022-04-02 02:47:27,36.365,6.6147,40.41,75,40,9.22
261,Bilma,NE,2022-04-02 02:47:28,18.6853,12.9164,76.59,4,5,5.57
262,Imeni Poliny Osipenko,RU,2022-04-02 02:47:28,52.4201,136.4853,28.36,85,93,8.66
263,Paamiut,GL,2022-04-02 02:46:13,61.994,-49.6678,32.04,90,100,8.28
264,Banda,IN,2022-04-02 02:47:28,25.4833,80.3333,88.54,9,0,2.8
265,Peniche,PT,2022-04-02 02:47:30,39.3558,-9.3811,47.1,79,20,11.27
266,Naze,JP,2022-04-02 02:47:31,28.3667,129.4833,59.92,63,100,14.0
267,Tabuk,PH,2022-04-02 02:47:32,17.4189,121.4443,83.1,64,92,7.2
268,Provideniya,RU,2022-04-02 02:47:32,64.3833,-173.3,26.22,78,94,8.86
269,Port Shepstone,ZA,2022-04-02 02:47:33,-30.7414,30.455,70.88,85,100,2.62
270,Oskarshamn,SE,2022-04-02 02:47:33,57.2645,16.4484,24.98,77,13,9.84
271,Vanimo,PG,2022-04-02 02:47:33,-2.6741,141.3028,82.35,82,100,4.61
272,Lavrentiya,RU,2022-04-02 02:47:34,65.5833,-171.0,12.65,68,21,15.08
273,Port Hedland,AU,2022-04-02 02:47:35,-20.3167,118.5667,95.05,43,40,10.36
274,Yerbogachen,RU,2022-04-02 02:47:35,61.2767,108.0108,18.81,77,7,14.18
275,Waipawa,NZ,2022-04-02 02:48:35,-41.4122,175.5153,63.81,74,93,4.81
276,Tautira,PF,2022-04-02 02:48:36,-17.7333,-149.15,81.97,74,74,9.48
277,Lompoc,US,2022-04-02 02:48:37,34.6391,-120.4579,59.77,85,75,7.0
278,Arraial Do Cabo,BR,2022-04-02 02:48:38,-22.9661,-42.0278,75.09,89,99,16.04
279,Nantucket,US,2022-04-02 02:47:13,41.2835,-70.0995,48.25,74,100,19.57
280,Salaya,IN,2022-04-02 02:48:38,22.3167,69.6,80.22,61,3,7.47
281,Saint-Georges,GD,2022-04-02 02:48:38,12.0564,-61.7485,76.68,88,75,20.71
282,Saldanha,ZA,2022-04-02 02:48:39,-33.0117,17.9442,57.25,82,0,20.45
283,Torrington,US,2022-04-02 02:48:39,41.8007,-73.1212,42.04,73,31,7.0
284,Collecchio,IT,2022-04-02 02:48:39,44.754,10.2184,42.13,56,20,8.05
285,Outlook,CA,2022-04-02 02:48:40,51.5001,-107.0513,27.23,77,37,5.93
286,Port Blair,IN,2022-04-02 02:48:40,11.6667,92.75,84.24,79,20,2.3
287,Gobabis,NA,2022-04-02 02:48:40,-22.45,18.9667,66.22,76,20,8.39
288,Dwarka,IN,2022-04-02 02:48:41,22.2394,68.9678,79.39,70,4,6.49
289,Kloulklubed,PW,2022-04-02 02:48:41,7.0419,134.2556,84.7,79,90,10.04
290,Mandalgovi,MN,2022-04-02 02:48:42,45.7625,106.2708,44.24,21,57,17.49
