City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
117,Longyearbyen,SJ,2022-04-02 20:37:57,78.2186,15.6401,1.24,71,20,9.22,few clouds
118,San Jose,US,2022-04-02 20:33:50,37.3394,-121.895,78.49,44,40,8.01,scattered clouds
119,Hailar,CN,2022-04-02 20:37:58,49.2,119.7,23.83,63,3,7.29,clear sky
120,Antalaha,MG,2022-04-02 20:37:58,-14.9003,50.2788,73.67,87,16,5.61,few clouds
121,Kansanshi,ZM,2022-04-02 20:37:58,-12.0951,26.4273,60.91,96,23,2.37,light rain
122,Tadine,NC,2022-04-02 20:37:59,-21.55,167.8833,80.35,86,100,17.29,overcast clouds
123,Nizhneangarsk,RU,2022-04-02 20:37:59,55.7833,109.55,23.36,83,95,7.43,overcast clouds
124,Talavera De La Reina,ES,2022-04-02 20:37:59,39.9635,-4.8308,40.21,49,28,8.63,scattered clouds
125,Oelde,DE,2022-04-02 20:37:59,51.8167,8.15,36.39,89,89,6.26,overcast clouds
126,Paka,MY,2022-04-02 20:38:00,4.6374,103.4368,76.98,94,99,2.3,overcast clouds
127,Half Moon Bay,US,2022-04-02 20:36:55,37.4636,-122.4286,78.55,59,40,3.44,scattered clouds
128,Bollnas,SE,2022-04-02 20:35:34,61.3482,16.3946,30.24,87,77,5.26,broken clouds
129,Bud,US,2022-04-02 20:38:00,39.447,-86.1758,56.89,47,60,16.87,broken clouds
130,Varzea Da Palma,BR,2022-04-02 20:38:00,-17.5981,-44.7308,82.96,40,71,2.62,broken clouds
131,Hermanus,ZA,2022-04-02 20:38:01,-34.4187,19.2345,62.8,80,93,16.73,overcast clouds
132,Clyde River,CA,2022-04-02 20:38:01,70.4692,-68.5914,14.23,85,100,9.22,fog
133,Rocha,UY,2022-04-02 20:38:02,-34.4833,-54.3333,65.23,65,4,10.45,clear sky
134,Riyadh,SA,2022-04-02 20:34:33,24.6877,46.7219,77.14,13,59,1.74,broken clouds
135,Cabo San Lucas,MX,2022-04-02 20:39:02,22.8909,-109.9124,80.62,60,20,19.57,few clouds
136,Kavieng,PG,2022-04-02 20:39:02,-2.5744,150.7967,77.22,90,100,7.0,moderate rain
137,Mount Isa,AU,2022-04-02 20:39:03,-20.7333,139.5,74.97,25,2,10.36,light rain
138,Yarkovo,RU,2022-04-02 20:39:03,57.4028,67.0786,28.74,96,100,8.14,light snow
139,Thinadhoo,MV,2022-04-02 20:39:03,0.5333,72.9333,82.63,70,9,4.7,clear sky
140,Udachnyy,RU,2022-04-02 20:39:04,66.4167,112.4,12.45,100,100,4.54,overcast clouds
